,0
0,"房屋守則
不可養寵物"
1,"房屋守則
此房屋男女皆可租住，不可養寵物"
2,"房屋守則
此房屋男女皆可租住，不可養寵物"
3,"房屋守則
不可養寵物"
4,no
5,"房屋守則
不可養寵物"
6,"房屋守則
不可養寵物"
7,"房屋守則
不可養寵物"
8,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
9,"房屋守則
此房屋男女皆可租住"
10,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
11,"房屋守則
此房屋男女皆可租住"
12,no
13,"房屋守則
此房屋男女皆可租住"
14,"房屋守則
適合上班族及家庭"
15,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合上班族及家庭"
16,no
17,no
18,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
19,"房屋守則
此房屋男女皆可租住，不可養寵物"
20,no
21,no
22,"房屋守則
此房屋限女生租住，不可養寵物；適合學生及上班族"
23,"房屋守則
此房屋男女皆可租住，不可養寵物"
24,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙"
25,"房屋守則
此房屋男女皆可租住，不可養寵物"
26,"房屋守則
不可養寵物"
27,"房屋守則
此房屋限女生租住，不可養寵物；適合學生及上班族"
28,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
29,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
30,"房屋守則
不可養寵物"
31,"房屋守則
此房屋男女皆可租住，不可養寵物"
32,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
33,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合上班族"
34,"房屋守則
不可養寵物"
35,"房屋守則
不可養寵物；適合上班族及家庭"
36,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
37,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生及上班族"
38,"房屋守則
此房屋男女皆可租住，不可養寵物"
39,"房屋守則
不可養寵物，不可開伙；適合學生及上班族"
40,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
41,no
42,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
43,no
44,no
45,"房屋守則
不可養寵物，不可開伙"
46,"房屋守則
此房屋限女生租住，不可養寵物；適合學生及上班族"
47,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
48,no
49,"房屋守則
此房屋男女皆可租住，不可養寵物"
50,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
51,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
52,"房屋守則
此房屋男女皆可租住，不可養寵物"
53,no
54,"房屋守則
此房屋男女皆可租住，不可養寵物"
55,"房屋守則
此房屋男女皆可租住，不可養寵物"
56,"房屋守則
適合上班族及家庭"
57,"房屋守則
此房屋男女皆可租住"
58,"房屋守則
此房屋限男生租住，不可養寵物；適合上班族"
59,"房屋守則
不可養寵物；適合家庭"
60,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
61,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
62,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
63,"房屋守則
此房屋男女皆可租住，不可養寵物"
64,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
65,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
66,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生及上班族"
67,"房屋守則
不可開伙"
68,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙"
69,"房屋守則
此房屋限女生租住，不可養寵物"
70,"房屋守則
不可養寵物；適合上班族及家庭"
71,"房屋守則
此房屋男女皆可租住，不可養寵物"
72,"房屋守則
此房屋限男生租住，不可養寵物，不可開伙"
73,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
74,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
75,"房屋守則
此房屋限男生租住，不可養寵物"
76,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合上班族"
77,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
78,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
79,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙"
80,"房屋守則
此房屋限女生租住，不可養寵物"
81,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
82,"房屋守則
此房屋男女皆可租住"
83,"房屋守則
此房屋限女生租住，不可養寵物；適合學生及上班族"
84,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
85,"房屋守則
此房屋男女皆可租住，不可養寵物"
86,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
87,"房屋守則
此房屋男女皆可租住，不可養寵物"
88,no
89,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
90,"房屋守則
不可養寵物；適合家庭"
91,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
92,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
93,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
94,"房屋守則
此房屋男女皆可租住"
95,"房屋守則
此房屋男女皆可租住，不可養寵物"
96,"房屋守則
此房屋男女皆可租住"
97,"房屋守則
此房屋限女生租住，不可養寵物；適合學生及上班族"
98,"房屋守則
此房屋男女皆可租住，不可養寵物"
99,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生"
100,"房屋守則
不可養寵物"
101,"房屋守則
此房屋男女皆可租住；適合上班族及家庭"
102,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
103,"房屋守則
此房屋男女皆可租住，不可養寵物"
104,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生及上班族"
105,"房屋守則
此房屋限女生租住，不可養寵物"
106,no
107,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙"
108,"房屋守則
此房屋男女皆可租住"
109,"房屋守則
不可養寵物"
110,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
111,"房屋守則
此房屋男女皆可租住"
112,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
113,"房屋守則
此房屋男女皆可租住"
114,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合上班族"
115,"房屋守則
不可養寵物；適合學生及上班族"
116,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
117,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
118,"房屋守則
此房屋男女皆可租住"
119,"房屋守則
不可養寵物；適合上班族及家庭"
120,"房屋守則
此房屋男女皆可租住"
121,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
122,"房屋守則
此房屋限女生租住，不可養寵物"
123,"房屋守則
不可養寵物；適合學生及上班族"
124,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
125,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
126,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
127,"房屋守則
此房屋男女皆可租住，不可養寵物"
128,"房屋守則
適合上班族及家庭"
129,no
130,"房屋守則
不可養寵物"
131,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合上班族"
132,"房屋守則
不可養寵物"
133,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
134,"房屋守則
此房屋男女皆可租住，不可養寵物"
135,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙"
136,"房屋守則
此房屋限男生租住，不可養寵物，不可開伙；適合上班族"
137,no
138,no
139,"房屋守則
不可養寵物"
140,"房屋守則
不可養寵物"
141,no
142,"房屋守則
不可養寵物；適合學生及上班族"
143,"房屋守則
此房屋男女皆可租住，不可養寵物"
144,no
145,"房屋守則
不可養寵物"
146,"房屋守則
不可養寵物；適合上班族及家庭"
147,"房屋守則
不可養寵物"
148,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
149,"房屋守則
此房屋男女皆可租住"
150,"房屋守則
此房屋男女皆可租住，不可養寵物"
151,"房屋守則
不可養寵物"
152,no
153,"房屋守則
此房屋男女皆可租住，不可養寵物"
154,"房屋守則
不可養寵物"
155,no
156,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
157,no
158,"房屋守則
此房屋男女皆可租住，不可養寵物"
159,"房屋守則
不可養寵物；適合上班族及家庭"
160,"房屋守則
不可養寵物"
161,"房屋守則
此房屋男女皆可租住"
162,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
163,"房屋守則
不可養寵物"
164,"房屋守則
不可養寵物"
165,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
166,"房屋守則
不可養寵物"
167,no
168,"房屋守則
不可養寵物"
169,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
170,"房屋守則
不可養寵物"
171,"房屋守則
不可養寵物；適合上班族及家庭"
172,"房屋守則
此房屋男女皆可租住"
173,"房屋守則
不可養寵物"
174,"房屋守則
此房屋男女皆可租住"
175,"房屋守則
不可養寵物"
176,"房屋守則
不可養寵物；適合上班族及家庭"
177,"房屋守則
不可養寵物；適合上班族及家庭"
178,"房屋守則
不可養寵物"
179,"房屋守則
不可養寵物"
180,"房屋守則
不可養寵物，不可開伙"
181,"房屋守則
此房屋男女皆可租住"
182,"房屋守則
不可養寵物"
183,"房屋守則
此房屋男女皆可租住"
184,"房屋守則
不可養寵物"
185,"房屋守則
不可養寵物；適合上班族及家庭"
186,"房屋守則
不可養寵物；適合上班族及家庭"
187,"房屋守則
不可養寵物"
188,"房屋守則
不可養寵物"
189,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
190,"房屋守則
此房屋限男生租住，不可養寵物，不可開伙"
191,"房屋守則
不可養寵物；適合上班族及家庭"
192,"房屋守則
適合上班族及家庭"
193,"房屋守則
此房屋男女皆可租住，不可養寵物"
194,"房屋守則
不可養寵物；適合上班族及家庭"
195,"房屋守則
此房屋男女皆可租住"
196,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
197,"房屋守則
此房屋男女皆可租住，不可養寵物"
198,"房屋守則
此房屋男女皆可租住"
199,no
200,"房屋守則
此房屋限女生租住，不可養寵物"
201,"房屋守則
此房屋男女皆可租住，不可養寵物"
202,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
203,"房屋守則
此房屋限男生租住，不可養寵物"
204,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合上班族"
205,"房屋守則
此房屋男女皆可租住，不可養寵物"
206,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合上班族"
207,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
208,"房屋守則
此房屋男女皆可租住，不可養寵物"
209,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
210,"房屋守則
不可養寵物；適合上班族及家庭"
211,"房屋守則
此房屋男女皆可租住，不可養寵物"
212,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
213,"房屋守則
此房屋限男生租住，不可養寵物"
214,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合上班族"
215,"房屋守則
此房屋男女皆可租住，不可養寵物"
216,"房屋守則
此房屋男女皆可租住，不可養寵物"
217,"房屋守則
不可養寵物"
218,"房屋守則
不可養寵物；適合上班族及家庭"
219,no
220,no
221,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
222,"房屋守則
此房屋男女皆可租住，不可養寵物"
223,"房屋守則
此房屋男女皆可租住，不可養寵物"
224,"房屋守則
不可養寵物，不可開伙"
225,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
226,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
227,"房屋守則
不可養寵物"
228,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
229,"房屋守則
此房屋男女皆可租住"
230,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
231,"房屋守則
不可養寵物"
232,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
233,"房屋守則
此房屋男女皆可租住，不可養寵物"
234,"房屋守則
此房屋男女皆可租住，不可養寵物"
235,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
236,"房屋守則
此房屋男女皆可租住，不可養寵物"
237,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
238,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
239,"房屋守則
此房屋限女生租住，不可養寵物；適合學生及上班族"
240,"房屋守則
此房屋限女生租住，不可養寵物"
241,"房屋守則
此房屋男女皆可租住，不可養寵物"
242,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
243,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙"
244,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生及上班族"
245,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
246,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生及上班族"
247,"房屋守則
不可養寵物"
248,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
249,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
250,"房屋守則
此房屋男女皆可租住"
251,"房屋守則
適合上班族及家庭"
252,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
253,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生及上班族"
254,"房屋守則
此房屋男女皆可租住，不可養寵物"
255,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生及上班族"
256,"房屋守則
此房屋男女皆可租住，不可養寵物"
257,"房屋守則
此房屋男女皆可租住，不可養寵物；適合上班族"
258,"房屋守則
此房屋男女皆可租住，不可養寵物"
259,"房屋守則
此房屋男女皆可租住，不可養寵物"
260,"房屋守則
此房屋男女皆可租住，不可開伙；適合上班族及家庭"
261,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生及上班族"
262,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
263,"房屋守則
不可養寵物"
264,"房屋守則
此房屋男女皆可租住"
265,"房屋守則
此房屋男女皆可租住"
266,"房屋守則
此房屋男女皆可租住"
267,"房屋守則
此房屋男女皆可租住，不可養寵物"
268,"房屋守則
此房屋限女生租住"
269,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
270,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
271,"房屋守則
此房屋男女皆可租住"
272,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
273,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
274,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
275,"房屋守則
此房屋男女皆可租住，不可養寵物"
276,"房屋守則
此房屋男女皆可租住，不可開伙"
277,"房屋守則
此房屋男女皆可租住，不可養寵物"
278,"房屋守則
此房屋限女生租住，不可養寵物；適合學生及上班族"
279,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生及上班族"
280,"房屋守則
不可養寵物"
281,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
282,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
283,"房屋守則
此房屋男女皆可租住"
284,"房屋守則
適合上班族及家庭"
285,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
286,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生及上班族"
287,"房屋守則
此房屋男女皆可租住，不可養寵物"
288,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生及上班族"
289,"房屋守則
此房屋男女皆可租住，不可養寵物"
