,0
0,公寓
1,電梯大樓
2,電梯大樓
3,電梯大樓
4,公寓
5,電梯大樓
6,電梯大樓
7,電梯大樓
8,電梯大樓
9,電梯大樓
10,公寓
11,電梯大樓
12,公寓
13,公寓
14,電梯大樓
15,公寓
16,電梯大樓
17,透天厝
18,公寓
19,透天厝
20,公寓
21,公寓
22,電梯大樓
23,電梯大樓
24,電梯大樓
25,公寓
26,公寓
27,公寓
28,公寓
29,公寓
30,公寓
31,電梯大樓
32,公寓
33,公寓
34,電梯大樓
35,公寓
36,電梯大樓
37,公寓
38,電梯大樓
39,公寓
40,公寓
41,公寓
42,公寓
43,公寓
44,公寓
45,公寓
46,電梯大樓
47,公寓
48,別墅
49,電梯大樓
50,公寓
51,公寓
52,公寓
53,電梯大樓
54,電梯大樓
55,電梯大樓
56,電梯大樓
57,公寓
58,公寓
59,電梯大樓
60,公寓
61,公寓
62,公寓
63,電梯大樓
64,公寓
65,公寓
66,公寓
67,公寓
68,公寓
69,公寓
70,公寓
71,公寓
72,公寓
73,電梯大樓
74,公寓
75,公寓
76,電梯大樓
77,公寓
78,公寓
79,透天厝
80,公寓
81,電梯大樓
82,電梯大樓
83,電梯大樓
84,公寓
85,電梯大樓
86,公寓
87,電梯大樓
88,公寓
89,公寓
90,電梯大樓
91,公寓
92,電梯大樓
93,公寓
94,電梯大樓
95,電梯大樓
96,電梯大樓
97,公寓
98,電梯大樓
99,電梯大樓
100,電梯大樓
101,公寓
102,公寓
103,公寓
104,公寓
105,電梯大樓
106,電梯大樓
107,透天厝
108,透天厝
109,公寓
110,公寓
111,電梯大樓
112,透天厝
113,透天厝
114,公寓
115,公寓
116,公寓
117,公寓
118,電梯大樓
119,電梯大樓
120,公寓
121,公寓
122,電梯大樓
123,公寓
124,電梯大樓
125,公寓
126,公寓
127,透天厝
128,公寓
129,電梯大樓
130,電梯大樓
131,公寓
132,公寓
133,公寓
134,公寓
135,公寓
136,公寓
137,電梯大樓
138,別墅
139,公寓
140,公寓
141,透天厝
142,公寓
143,公寓
144,公寓
145,公寓
146,電梯大樓
147,公寓
148,公寓
149,電梯大樓
150,電梯大樓
151,電梯大樓
152,電梯大樓
153,公寓
154,公寓
155,公寓
156,公寓
157,透天厝
158,公寓
159,電梯大樓
160,公寓
161,電梯大樓
162,電梯大樓
163,公寓
164,電梯大樓
165,公寓
166,電梯大樓
167,公寓
168,電梯大樓
169,公寓
170,公寓
171,電梯大樓
172,公寓
173,公寓
174,透天厝
175,公寓
176,電梯大樓
177,電梯大樓
178,電梯大樓
179,公寓
180,公寓
181,公寓
182,公寓
183,透天厝
184,公寓
185,電梯大樓
186,電梯大樓
187,電梯大樓
188,公寓
189,公寓
190,透天厝
191,公寓
192,公寓
193,公寓
194,電梯大樓
195,公寓
196,電梯大樓
197,公寓
198,電梯大樓
199,最短租期半年
200,公寓
201,公寓
202,公寓
203,公寓
204,公寓
205,公寓
206,公寓
207,公寓
208,公寓
209,電梯大樓
210,電梯大樓
211,公寓
212,公寓
213,公寓
214,公寓
215,公寓
216,電梯大樓
217,電梯大樓
218,電梯大樓
219,公寓
220,電梯大樓
221,電梯大樓
222,公寓
223,公寓
224,電梯大樓
225,公寓
226,公寓
227,電梯大樓
228,透天厝
229,公寓
230,公寓
231,電梯大樓
232,公寓
233,電梯大樓
234,公寓
