鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
西區,房地(土地+建物),臺中市西區南屯路一段１９０巷１０號,74.0,住,,,1110120,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0601124,91.14,4,2,2,有,無,11500000,126180,,0.0,0,陽台外推；其他增建；,RPXOMLKLJHHGFAB37DA,91.14,0.0,0.0,無,
南區,房地(土地+建物),臺中市南區工學一街１７９巷８號４樓之１,13.56,住,,,1101230,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870930,105.08000000000001,2,2,1,有,有,6300000,59954,,0.0,0,,RPUPMLPKKHHGFAB67DA,58.33,0.0,4.48,有,0001
南區,車位,工學路６１號等樓之公共設施,4.3,住,,,1101230,土地1建物0車位1,,,其他,,,,0.0,0,0,0,有,有,1000000,,坡道平面,25.05,1000000,僅車位交易；,RPWPMLPKKHHGFAB87DA,0.0,0.0,0.0,有,0002
西區,房地(土地+建物)+車位,臺中市西區忠明南路１１０號八樓之七,9.5,住,,,1110127,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951222,104.32000000000001,2,1,1,有,有,10080000,102146,坡道機械,13.47,800000,本筆交易買賣總價1008萬 有拆分價格:  土地+建物總價928萬+車位價格80萬,RPVOMLRKKHHGFAB87DA,50.1,0.0,16.66,有,
南區,房地(土地+建物)+車位,臺中市南區工學路１１６號１７樓之２,12.71,住,,,1110119,土地2建物1車位1,十七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841130,113.58,3,2,1,有,有,7580000,66737,坡道平面,0.0,0,,RPQRMLRKKHHGFAB67DA,64.93,0.0,5.24,有,
南區,房地(土地+建物),臺中市南區五權南路３６８巷５號,73.0,住,,,1110216,土地1建物1車位0,全,二層,透天厝,商業用,見其他登記事項,0620712,111.76,2,2,2,有,無,12900000,115426,,0.0,0,其他增建；,RPOPMLLJLHHGFAB66DA,111.76,0.0,0.0,無,
南區,房地(土地+建物)+車位,臺中市南區懷寧街１９６號１１樓之２,8.51,商,,,1110122,土地3建物1車位1,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830912,115.37,3,2,2,有,有,8380000,72636,坡道機械,0.0,0,,RPRPMLLJLHHGFAB96DA,69.75,3.31,9.56,有,
東區,土地,旱溪段122-16地號,87.0,住,,,1110115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9500000,109195,,0.0,0,價金與其他買賣案件併同申報預售屋、或土地及建物分件登記案件；,RPUOMLMJLHHGFAB27DA,0.0,0.0,0.0,無,
東區,房地(土地+建物)+車位,臺中市東區大智路４３６號二樓之２,20.46,住,,,1101220,土地3建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090820,162.39,3,2,2,有,有,13000000,80054,坡道平面,0.0,0,,RPOOMLNJLHHGFAB76DA,70.14,4.5,8.01,有,0003
南區,房地(土地+建物)+車位,臺中市南區學府路２０８號４樓之１,9.03,商,,,1101223,土地3建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840817,112.32,3,2,2,有,有,7000000,62322,坡道機械,31.63,0,,RPSOMLOJLHHGFAB27DA,65.5,0.0,8.08,有,
東區,房地(土地+建物),臺中市東區復興路４段２２０巷５弄５一８號,18.35,住,,,1110224,土地6建物1車位0,一層,四層,公寓(5樓含以下無電梯),其他,鋼筋混凝土造,0690422,7.96,1,0,0,有,無,1165000,146357,,0.0,0,,RPRQMLOJLHHGFAB37DA,7.96,0.0,0.0,無,
西區,房地(土地+建物)+車位,臺中市西區五廊街２９－４號三樓之３,16.47,住,,,1110117,土地2建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0770722,98.35000000000001,2,2,1,有,有,5400000,54906,坡道平面,0.0,0,,RPUNMLRJLHHGFAB67DA,64.65,1.0,3.69,有,
南區,房地(土地+建物)+車位,臺中市南區忠明南路７８０號１４樓之６,10.55,住,,,1110117,土地2建物1車位1,十四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850131,141.72,4,2,2,有,有,9600000,67739,坡道機械,0.0,0,,RPPNMLQJLHHGFAB07DA,87.43,0.33,12.51,有,0004
南區,房地(土地+建物)+車位,臺中市南區仁義街８６－１４號８樓,3.3,住,,,1110125,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840107,37.69,1,0,1,有,有,2620000,69514,坡道機械,0.0,0,,RPQPMLRJLHHGFAB47DA,19.6,0.0,3.1,有,
西區,房地(土地+建物),臺中市西區忠誠街６６巷１５號４樓,33.49,住,,,1101201,土地1建物1車位0,四層，瞭望室,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680320,131.44,5,3,3,有,有,7800000,59343,,0.0,0,買賣總價金包含土地價金:5725200元及建物價金:2074800元,RPRPMLRJLHHGFAB57DA,120.54,0.0,0.0,有,0005
南區,房地(土地+建物),臺中市南區公理街８號,69.0,住,,,1110219,土地1建物1車位0,全,三層,透天厝,住家用,鐵筋加強磚造,0611011,214.12,4,2,3,有,無,10000000,46703,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLSJLHHGFAB77DA,214.12,0.0,0.0,無,
東區,土地,東勢子段90-10地號,117.34,,,,1110209,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5678400,48393,,0.0,0,,RPROMLTJLHHGFAB67DA,0.0,0.0,0.0,無,0006
北區,房地(土地+建物)+車位,臺中市北區英士路２８號十樓之１３,8.0,商,,,1110115,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980902,67.86,1,1,1,有,有,5350000,85768,坡道機械,14.81,800000,,RPUNMLPKJHHGFBB47DA,32.36,0.8,2.22,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區太和東街１１６號五樓之６,21.59,住,,,1110123,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040306,137.05,3,2,2,有,有,10400000,75885,坡道機械,14.06,0,,RPTRMLQLJHHGFBB97DA,72.73,2.4,8.7,有,
北區,車位,臺中市北區育德路１００號二樓之１等公共設施,0.0,,,,1110116,土地0建物1車位2,,,其他,,,,59.48,0,0,0,有,有,2750000,,坡道平面,59.48,0,僅車位交易；,RPRNMLKKKHHGFBB76DA,0.0,0.0,0.0,有,0007
北屯區,房地(土地+建物)+車位,臺中市北屯區太順路２８６號五樓之５,13.53,住,,,1110122,土地2建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100924,117.58,2,2,1,有,有,9900000,84198,坡道平面,29.81,0,,RPOQMLKKKHHGFBB76DA,52.66,0.98,3.22,有,0008
北屯區,房地(土地+建物),臺中市北屯區軍福十三路１２５號四樓之２,15.94,住,,,1110207,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030915,85.72999999999999,3,2,2,有,有,6300000,73487,,0.0,0,夾層；,RPOOMLOKKHHGFBB96DA,49.19,4.42,4.37,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區松和街２８６號１０樓,21.71,住,,,1110203,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820511,124.47999999999999,3,2,2,有,有,9000000,72301,坡道機械,0.0,0,陽台外推；,RPWOMLOKKHHGFBB77DA,86.0,1.82,10.34,有,0009
北區,房地(土地+建物)+車位,臺中市北區博館二街５號二十二樓,21.23,商,,,1080316,土地1建物1車位1,二十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101027,216.78,3,2,2,有,有,25490000,133697,坡道平面,40.71,1950000,,RPUNMLPKKHHGFBB57DA,107.01,0.0,9.4,有,
北區,房地(土地+建物)+車位,臺中市北區博館二街７號二十二樓,25.67,商,,,1080316,土地1建物1車位2,二十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101027,262.55,3,2,2,有,有,29090000,139071,坡道平面,81.42,3900000,,RPVNMLPKKHHGFBB67DA,108.79,0.0,10.97,有,
北區,房地(土地+建物),臺中市北區北平路二段５號５樓之１２,5.95,商,,,1110211,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850829,32.989999999999995,0,0,0,無,有,2600000,78812,,0.0,0,,RPSOMLPKKHHGFBB47DA,19.38,0.0,4.34,有,
北區,房地(土地+建物),臺中市北區青島路一段２６巷１８之１號,26.7,住,,,1110124,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760924,99.83,3,2,1,有,無,5600000,56095,,0.0,0,陽台外推；,RPXQMLRKKHHGFBB38DA,83.06,0.0,5.76,無,
北區,房地(土地+建物),臺中市北區青島路一段４０４之４號,23.68,住,,,1110124,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710208,86.0,8,0,8,有,無,7660000,89070,,0.0,0,其他增建；,RPQPMLSKKHHGFBB67DA,74.15,0.0,11.85,無,0010
北屯區,房地(土地+建物),臺中市北屯區崇德六路一段１１２號１０樓,18.17,住,,,1110210,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841229,104.5,3,2,1,有,有,6800000,65072,,0.0,0,,RPXPMLSKKHHGFBB38DA,73.74,0.0,10.07,有,
北區,房地(土地+建物),臺中市北區太原四街８號五樓之７,5.07,住,,,1110220,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841127,38.36,1,1,1,有,無,3200000,83420,,0.0,0,,RPTNMLKLKHHGFBB07DA,21.97,0.0,3.72,有,0011
北屯區,土地,碧柳段216地號,622.18,住,,,1101216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,118948700,191181,,0.0,0,,RPSPMLPLKHHGFBB67DA,0.0,0.0,0.0,無,
