鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
前金區,房地(土地+建物),高雄市前金區光復二街１６３之４號,14.5,商,,,1110125,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0671024,40.6,3,2,1,有,無,2700000,66502,,0.0,0,夾層；其他增建；,RPQOMLRJKHHGFAE57DA,40.6,0.0,0.0,無,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區河西一路１３５３號七樓,44.26,住,,,1110116,土地1建物1車位2,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951004,343.03,4,2,3,有,有,27100000,79002,坡道平面,67.44,0,,RPTPMLSKKHHGFAE18DA,161.8,2.51,17.36,有,
前金區,房地(土地+建物),高雄市前金區六合二路１０６號十二樓之６,3.52,商,,,1110120,土地1建物1車位0,十二層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100702,67.69,2,1,1,有,有,5500000,81253,,0.0,0,,RPVOMLMLKHHGFAE77DA,37.98,1.08,4.23,有,0001
鼓山區,房地(土地+建物),高雄市鼓山區臨海二路６３號三樓之８,4.51,商,,,1110224,土地2建物1車位0,三層,九層,華廈(10層含以下有電梯),,鋼筋混凝土造,0700108,24.92,1,0,1,有,有,1580000,63403,,0.0,0,附贈冷氣1具及固定燈飾全部包含公共設施保留地用地；,RPVOMLLJLHHGFAE57DA,24.92,0.0,0.0,有,
前金區,房地(土地+建物),高雄市前金區市中一路９９號十四樓之８,4.78,商,,,1110117,土地1建物1車位0,十四層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910618,61.230000000000004,1,1,1,有,有,3800000,62061,,0.0,0,,RPQNMLNJLHHGFAE17DA,37.24,0.0,4.43,有,
鼓山區,車位,高雄市鼓山區中華一路８６２號等４７戶共有部分,0.0,,,,1110105,土地0建物1車位2,,,住宅大樓(11層含以上有電梯),,,,29.45,0,0,0,有,有,5000000,,坡道平面,29.44,5000000,僅車位交易；,RPQNMLPJLHHGFAE37DA,0.0,0.0,0.0,有,0002
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術館路２７７號九樓,23.6,住,,,1101014,土地1建物1車位1,九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940831,208.24,3,2,2,有,有,17000000,81637,坡道平面,32.6,0,親友、員工、共有人或其他特殊關係間之交易；,RPTPMLRJLHHGFAE08DA,108.81,3.3,12.72,有,
前金區,房地(土地+建物)+車位,高雄市前金區七賢二路２８０號十二樓,10.11,商,,,1110208,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010926,150.35999999999999,3,2,2,有,有,13650000,90782,坡道平面,19.31,0,,RPPQMLRJLHHGFAE77DA,76.34,2.1,8.94,有,0003
前金區,房地(土地+建物)+車位,高雄市前金區市中一路９６號十三樓,21.57,住,,,1101028,土地2建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101201,211.4,3,2,2,有,有,16700000,78997,坡道平面,40.75,0,,RPXOMLSJLHHGFAE48DA,84.22,5.65,18.49,有,
前金區,房地(土地+建物)+車位,高雄市前金區市中一路９６號四樓,20.47,住,,,1101024,土地2建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101201,200.26,3,2,2,有,有,17700000,88385,坡道平面,29.61,0,,RPOPMLSJLHHGFAE67DA,84.22,5.65,18.49,有,
前金區,房地(土地+建物)+車位,高雄市前金區市中一路９０號十一樓,13.7,住,,,1101204,土地2建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101201,135.26,3,2,2,有,有,11430000,84504,坡道機械,11.14,0,,RPPPMLSJLHHGFAE77DA,69.22,2.93,6.67,有,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明誠四路６號十三樓,50.37,都市：其他:第三種特定商業專用區,,,1110104,土地2建物2車位3,十三層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0950821,449.83,0,0,0,無,有,34260000,76162,坡道平面,53.6,0,本案房型為辦公室開放空間，兩戶打通。各別約定價格:明誠四路6號13樓價格為壹仟捌佰玖拾伍萬元整明誠四路8號13樓價格為壹仟伍佰參拾壹萬元整,RPOOMLSJLHHGFAE57DA,240.39,0.0,28.94,有,0004
鼓山區,房地(土地+建物),高雄市鼓山區裕國街３４１號十三樓之２,9.55,住,,,1101109,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931104,80.61,2,2,1,有,有,6500000,80635,,0.0,0,含傢俱設備費；,RPPNMLTJLHHGFAE67DA,51.04,0.0,4.61,有,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕誠路１５０７之１號,23.66,商,,,1110119,土地1建物1車位1,一層，二層，三層，騎樓,二十一層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0840309,264.67,0,0,0,無,有,22000000,83122,坡道平面,0.0,0,其他增建；,RPSNMLSJLHHGFAE87DA,199.32,0.0,16.89,有,
苓雅區,房地(土地+建物),高雄市苓雅區建國一路２巷２號五樓,32.57,都市：其他:第二種特定商業專用區,,,1101221,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0750802,108.67999999999999,3,2,2,有,無,3100000,28524,,0.0,0,含傢俱設備費；,RPPNMLMKKHHGFBE07DA,82.27,0.0,9.8,無,0005
新興區,房地(土地+建物),高雄市新興區河南二路４１號,47.0,商,,,1110214,土地1建物1車位0,全,二層,透天厝,,加強磚造,0550331,82.62,5,1,5,有,無,9800000,118615,,0.0,0,本標的目前一樓左方壁癌及局部潮濕情形，買方同意自行修復並負擔修繕所需費用，賣方已折讓價金，依現況點交給買方，賣方不負民法規範滲漏水瑕疵保固之責任。其他增建；,RPXRMLQKKHHGFBE68DA,82.62,0.0,0.0,無,
新興區,房地(土地+建物),高雄市新興區中山一路１２號１０樓之５,4.58,商,,,1110218,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0690410,32.1,1,0,1,有,有,1600000,49844,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQRMLSKKHHGFBE18DA,27.24,0.0,0.0,有,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區和平一路３０６號九樓,14.51,住,,,1101217,土地2建物1車位1,九層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土構造,1080709,228.13,3,2,2,有,有,21400000,97219,坡道平面,26.01,1750000,,RPTQMLLJLHHGFBE67DA,114.97,6.13,6.26,有,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區明德街１２３號四樓之１,25.71,住,,,1091108,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,183.24,3,2,2,有,有,13386000,75795,坡道平面,32.36,1950000,面積誤差價款找補原賣賣總價款13300000找補後買賣總價款13386000預售屋、或土地及建物分件登記案件；,RPPNMLSJLHHGFBE67DA,78.86,0.0,18.01,有,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區明德街１２３號九樓之１,25.86,住,,,1101229,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,183.82999999999998,3,2,2,有,有,13900000,78894,坡道平面,32.36,1950000,,RPQNMLSJLHHGFBE77DA,78.68,0.0,18.57,有,
