鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
土城區,房地(土地+建物)+車位,新北市土城區日和街１３號二十九樓,24.42,商,,,1101120,土地1建物1車位1,二十九層,三十二層,住宅大樓(11層含以上有電梯),辦公用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,197.06,1,0,0,有,有,22450000,127993,坡道平面,39.63,2300000,工程折讓12萬元110年12月29日更名,RPUPMLRKJHHGFAF18DA,88.35,9.82,5.02,有,
板橋區,房地(土地+建物),新北市板橋區稚暉街６４巷５號二樓,30.0,住,,,1110122,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,91.97,4,1,2,有,無,4000000,43492,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWUMLPLJHHGFAF78DA,91.97,0.0,0.0,無,
土城區,房地(土地+建物),新北市土城區日和街１７號六樓,15.2,商,,,1110121,土地1建物1車位0,六層,三十二層,住宅大樓(11層含以上有電梯),辦公用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,101.32999999999998,1,0,0,有,有,12720000,125530,,0.0,0,,RPXPMLLKKHHGFAF97DA,54.92,7.0,4.43,有,
板橋區,房地(土地+建物),新北市板橋區大仁街１０４號三樓,68.25,住,,,1110109,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660115,158.28,4,2,1,有,無,17500000,110564,,0.0,0,,RPQRMLRJKHHGFAF97DA,148.68,0.0,9.6,無,
板橋區,房地(土地+建物),新北市板橋區陽明街６６號四樓,21.6,住,,,1101230,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,94.31,2,1,1,有,無,11800000,125119,,0.0,0,,RPPRMLOKKHHGFAF67DA,81.38,0.0,12.93,無,0001
板橋區,房地(土地+建物),新北市板橋區德興街４３號五樓,19.6,商,,,1110122,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680322,71.39,4,0,4,有,無,10300000,144278,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPTOMLRKKHHGFAF08DA,67.84,0.0,3.55,無,
土城區,房地(土地+建物),新北市土城區裕民路１６３號十一樓,12.2,住,,,1110119,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830607,115.21000000000001,3,2,2,有,有,15800000,137141,,0.0,0,其他增建；,RPRNMLPLKHHGFAF67DA,93.04,1.59,7.51,有,
板橋區,房地(土地+建物),新北市板橋區莊敬路３４之２號十六樓,5.2,商,,,1110126,土地1建物1車位0,十六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870416,79.18,1,2,1,有,有,16310000,205986,,0.0,0,陽台外推；夾層；其他增建；,RPTPMLOLKHHGFAF97DA,49.71,0.88,7.11,有,
板橋區,土地,新興段1167地號,7.32,都市：其他:道路用地,,,1110218,土地48建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1325453,181073,,0.0,0,包含公共設施保留地用地；,RPXNMLMJLHHGFAF87DA,0.0,0.0,0.0,無,0002
土城區,土地,學成段642地號,10.92,住,,,1110224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2313000,211813,,0.0,0,,RPQTMLNJLHHGFAF87DA,0.0,0.0,0.0,無,0003
土城區,土地,學成段642地號,28.03,住,,,1110224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5936000,211773,,0.0,0,,RPRTMLNJLHHGFAF97DA,0.0,0.0,0.0,無,0003
板橋區,房地(土地+建物),新北市板橋區四川路一段２１８號十九樓之５,11.34,住,,,1101113,土地1建物1車位0,十九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1060824,81.4,2,1,1,有,有,16000000,196560,,0.0,0,,RPPNMLOJLHHGFAF27DA,50.8,0.0,3.59,有,0005
土城區,房地(土地+建物)+車位,新北市土城區學府路二段２６９號五樓,17.89,住,,,1080324,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,134.42000000000002,2,2,1,有,有,13880000,114019,坡道平面,29.35,1900000,預售屋、或土地及建物分件登記案件；,RPPQMLOJLHHGFAF57DA,61.4,3.56,4.07,有,
土城區,房地(土地+建物)+車位,新北市土城區學府路二段２８５號十五樓,27.71,住,,,1070905,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,200.84,4,2,2,有,有,22200000,118374,坡道平面,29.35,1900000,預售屋、或土地及建物分件登記案件；,RPTUMLOJLHHGFAF38DA,96.42,7.7,10.63,有,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路１０８號十二樓,17.84,住,,,1110130,土地1建物1車位1,十二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050715,164.38,3,2,2,有,有,23000000,139920,坡道平面,33.95,0,,RPQOMLRJLHHGFAF77DA,75.77,2.36,7.54,有,0006
板橋區,車位,新北市板橋區廣和街９０號等,1.55,住,,,1110224,土地1建物1車位1,,,其他,,,,17.87,0,0,0,有,有,1550000,,坡道平面,17.87,1550000,僅車位交易；,RPQNMLSJLHHGFAF77DA,0.0,0.0,0.0,有,0007
土城區,房地(土地+建物)+車位,新北市土城區中央路二段６１巷２３號八樓,31.0,商,,,1110215,土地1建物1車位1,八層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061213,206.7,4,2,2,有,有,28600000,138365,坡道平面,38.02,0,,RPWOMLSJLHHGFAF48DA,102.77,5.36,11.65,有,0008
土城區,土地,明德段146地號,69.91,住,,,1110223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18865800,269858,,0.0,0,,RPUQMLSJLHHGFAF48DA,0.0,0.0,0.0,無,
板橋區,房地(土地+建物),新北市板橋區文化路一段２１５號六樓,25.25,住,,,1110119,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0770213,137.20999999999998,3,2,2,有,有,24000000,174914,,0.0,0,依使用現況點交,RPTRMLSJLHHGFAF48DA,94.43,0.0,9.48,有,
