,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
7,萬華區,房地(土地+建物),臺北市萬華區水源路２０５之２號四樓,28.01,住,,,1110101,土地2建物1車位0,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861023,161.38,3,2,2,有,有,22300000,138183,,0.0,0,陽台外推；其他增建；,RPOPMLQLJHHGFBA17DA,83.52,0.0,13.2,有,
19,萬華區,房地(土地+建物)+車位,臺北市萬華區西寧南路１２７號九樓之１,4.85,商,,,1110211,土地1建物1車位1,九層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1010320,108.97,2,1,1,有,有,22500000,206479,坡道機械,17.47,0,車位編號:B6-77號,RPQNMLTJLHHGFBA47DA,52.36,5.94,3.22,有,3.0
25,內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段１６７巷１號十一樓之１,33.79,住,,,1110125,土地2建物1車位1,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940627,232.03000000000003,3,2,2,有,有,53980000,232642,坡道平面,0.0,0,陽台外推；其他增建；,RPUOMLPKKHHGFCA67DA,121.18,3.88,10.18,有,
41,內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段７０５號二樓,11.42,商,,,1101231,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001028,129.2,4,2,2,有,有,28950000,224071,坡道平面,0.0,0,權利人原持有部分，現再取得部分親友、員工、共有人或其他特殊關係間之交易；,RPXOMLTJLHHGFCA38DA,69.67,6.0,6.59,有,13.0
52,信義區,房地(土地+建物)+車位,臺北市信義區福德街１６９號十一樓,55.16,住,,,1110214,土地1建物1車位2,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010420,394.75,4,1,3,有,有,98000000,310497,坡道平面,95.23,5000000,,RPOQMLTJLHHGFDA77DA,147.13,21.13,14.26,有,
53,信義區,房地(土地+建物),臺北市信義區松德路２５巷３４號四樓,14.02,住,,,1110221,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740620,118.61,3,2,2,有,有,25830000,217773,,0.0,0,前陽台有外推，後陽台沒有外推陽台外推；,RPOQMLKKLHHGFDA96DA,89.99,0.0,7.76,有,
55,北投區,房地(土地+建物)+車位,臺北市北投區大度路三段２７０巷６７號十八樓,60.85,,,,1110127,土地1建物1車位2,十八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010217,381.38,3,2,3,有,有,48000000,125855,坡道平面,0.0,0,陽台外推；其他增建；,RPOOMLOKKHHGFEA17DA,187.24,8.08,7.23,有,19.0
57,北投區,房地(土地+建物),臺北市北投區中央北路四段５４１巷３號十四樓,17.24,住,,,1071028,土地1建物1車位0,十四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,94.15,1,1,1,有,有,15750000,167286,,0.0,0,本案係預售屋,RPVOMLLLKHHGFEA67DA,51.54,2.05,7.86,有,
58,北投區,房地(土地+建物),臺北市北投區中央北路四段５４１巷５號八樓,19.59,住,,,1070528,土地1建物1車位0,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,107.22999999999999,0,0,0,無,有,17100000,159470,,0.0,0,本案係預售屋,RPQPMLLLKHHGFEA27DA,56.29,5.18,8.52,有,
59,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷５號十六樓,21.68,住,,,1100319,土地1建物1車位1,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,148.87,2,1,1,有,有,21350000,178758,坡道平面,41.63,2180000,,RPSQMLLLKHHGFEA57DA,56.29,5.18,8.52,有,
60,北投區,房地(土地+建物),臺北市北投區中央北路四段５４１巷９號三樓,17.76,住,,,1081118,土地1建物1車位0,三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,96.68,1,1,1,有,有,12500000,129293,,0.0,0,本案係預售屋,RPQSMLLLKHHGFEA57DA,53.32,1.77,8.03,有,
61,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷９號十四樓,19.85,住,,,1071029,土地1建物1車位1,十四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,138.31,2,1,1,有,有,18160000,167149,坡道平面,41.63,2000000,本案係預售屋,RPXSMLLLKHHGFEA28DA,53.32,1.77,8.03,有,
62,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷１１號七樓,19.85,住,,,1101022,土地1建物1車位1,七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,139.38,2,1,1,有,有,17200000,157545,坡道平面,41.63,1800000,,RPTTMLLLKHHGFEA97DA,53.32,2.47,8.03,有,
63,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷１３號五樓,23.77,住,,,1070621,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,160.54000000000002,3,2,2,有,有,20900000,155580,坡道平面,41.63,2400000,本案係預售屋,RPUUMLLLKHHGFEA18DA,65.09,6.11,6.42,有,
