鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物),桃園市桃園區正康一街１９０號,85.0,住,,,1101015,土地2建物1車位0,全,三層,透天厝,住家用,加強磚造,0650116,169.5,6,2,3,有,無,18900000,111504,,0.0,0,頂樓加蓋；其他增建；,RPUUMLPKIIGGFAH58DA,169.5,0.0,0.0,無,
桃園區,土地,龍祥段162地號,111.91,住,,,1101224,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14386200,128552,,0.0,0,,RPRNMLRKJHHGFAH87DA,0.0,0.0,0.0,無,
桃園區,土地,皮寮段235地號,7.0,農,,,1110207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,28571,,0.0,0,,RPSOMLTJKHHGFAH28DA,0.0,0.0,0.0,無,0001
桃園區,房地(土地+建物)+車位,桃園市桃園區國際路二段６５巷１２之４號,49.76,住,,,1110211,土地5建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791017,213.28,4,2,2,有,有,12600000,59077,坡道平面,0.0,1300000,陽台外推；其他增建；,RPUQMLLKKHHGFAH97DA,188.82,0.0,14.7,有,0002
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐六街５１號九樓,15.73,住,,,1110126,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961023,118.52000000000001,2,1,1,有,有,8750000,73827,坡道平面,34.08,0,陽台外推；,RPOSMLPKKHHGFAH97DA,52.72,1.05,5.76,有,0003
桃園區,房地(土地+建物)+車位,桃園市桃園區埔新路６７號,12.63,住,,,1110127,土地1建物1車位2,一層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1080321,127.99000000000001,0,1,1,有,有,13120000,134843,坡道平面,52.94,3000000,,RPVNMLMLKHHGFAH97DA,46.77,0.0,3.46,有,
桃園區,房地(土地+建物),桃園市桃園區大業路一段９８號,14.74,住,,,1110220,土地1建物1車位0,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930915,75.15,2,1,1,有,有,6480000,86228,,0.0,0,,RPOPMLNLKHHGFAH57DA,46.51,0.0,6.94,有,0004
桃園區,房地(土地+建物),桃園市桃園區建國東路１２巷３５弄１６之３號,27.67,住,,,1110214,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670810,73.67,2,2,1,有,無,4350000,59047,,0.0,0,其他增建；,RPUPMLOLKHHGFAH28DA,73.67,0.0,0.0,無,0005
桃園區,房地(土地+建物),桃園市桃園區國強一街７２號,64.36,住,,,1101204,土地3建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0870818,198.21,5,2,4,有,無,16000000,80722,,0.0,0,,RPWQMLOLKHHGFAH58DA,179.42,0.0,15.83,無,
桃園區,房地(土地+建物)+車位,桃園市桃園區永順街９９巷７號七樓,15.82,住,,,1110215,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030915,124.14,2,2,1,有,有,12600000,101498,坡道平面,33.87,0,,RPVPMLPLKHHGFAH48DA,54.62,0.0,7.44,有,0006
桃園區,土地,埔子段埔子小段1689-12地號,126.71,都市：其他:河川區,,,1110302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2462000,19430,,0.0,0,,RPXPMLMJLHHGFAH28DA,0.0,0.0,0.0,無,
桃園區,房地(土地+建物),桃園市桃園區雙路１６４號八樓之３,18.49,住,,,1110208,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0910612,107.99000000000001,3,2,2,有,有,7500000,69451,,0.0,0,陽台外推；,RPVRMLMJLHHGFAH28DA,70.36,1.06,9.09,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路二段２５１號十二樓之一,14.5,住,,,1101222,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820830,154.36,3,2,2,有,有,9000000,58305,坡道平面,0.0,0,,RPSOMLNJLHHGFAH77DA,79.8,1.8,9.71,有,0007
桃園區,房地(土地+建物),桃園市桃園區水汴一路１２３號四樓之２,12.86,商,,,1110128,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050701,89.42999999999999,2,1,1,有,有,8820000,98625,,0.0,0,,RPSQMLOJLHHGFAH08DA,55.19,0.0,4.72,有,0008
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路８６巷２８號二樓,19.94,住,,,1110211,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070221,149.81,2,2,1,有,有,11600000,77431,坡道平面,0.0,0,,RPPOMLRJLHHGFAH87DA,58.34,0.0,6.68,有,0009
桃園區,房地(土地+建物),桃園市桃園區桃鶯路２３１巷９號七樓,7.29,住,,,1110221,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840707,44.0,1,1,1,有,有,2950000,67045,,0.0,0,,RPROMLRJLHHGFAH08DA,28.88,0.0,4.41,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路３９３巷２號十二樓,12.46,住,,,1110208,土地1建物1車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831017,166.39999999999998,3,1,2,有,有,11200000,67308,坡道平面,0.0,0,,RPRQMLRJLHHGFAH28DA,83.85,0.0,17.42,有,
桃園區,土地,三元段505地號,67.01,工,,,1110225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4053900,60497,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWQMLRJLHHGFAH78DA,0.0,0.0,0.0,無,0010
桃園區,土地,雙龍段7地號,586.98,農,,,1100928,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12430000,21176,,0.0,0,,RPQPMLSJLHHGFAH18DA,0.0,0.0,0.0,無,
桃園區,房地(土地+建物)+車位,桃園市桃園區龍泉二街４３號十八樓,14.59,商,,,1110210,土地1建物1車位1,十八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021023,164.57999999999998,3,2,2,有,有,12550000,76255,坡道平面,0.0,0,,RPUPMLSJLHHGFAH58DA,83.33,0.0,10.31,有,0011
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路一段２６２號十四樓,25.31,商,,,1110119,土地1建物1車位2,十四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040811,294.86,3,2,3,有,有,32250000,109374,坡道平面,49.42,0,,RPRQMLSJLHHGFAH38DA,147.03,2.53,15.82,有,0012
