Column1,Column2
,0
0,3房2廳2衛
1,獨立套房
2,獨立套房
3,2房2廳2衛
4,5房2廳2衛
5,1房1廳1衛
6,3房2廳2衛
7,3房2廳2衛
8,獨立套房
9,獨立套房
10,分租套房
11,分租套房
12,1房1廳1衛
13,分租套房
14,4房2廳2衛
15,獨立套房
16,1房1廳1衛
17,1房1廳1衛
18,分租套房
19,雅房
20,1房1廳1衛
21,2房1廳1衛
22,雅房
23,雅房
24,分租套房
25,雅房
26,2房1廳2衛
27,分租套房
28,分租套房
29,分租套房
30,3房2廳2衛
31,獨立套房
32,分租套房
33,獨立套房
34,2房1廳1衛
35,2房2廳1衛
36,獨立套房
37,雅房
38,獨立套房
39,4房2廳2衛
40,雅房
41,2房1廳1衛
42,獨立套房
43,2房2廳2衛
44,2房1廳1衛
45,1房1廳1衛
46,雅房
47,分租套房
48,6房3廳3衛
49,獨立套房
50,分租套房
51,分租套房
52,分租套房
53,3房2廳2衛
54,分租套房
55,分租套房
56,3房2廳2衛
57,雅房
58,雅房
59,3房2廳2衛
60,分租套房
61,分租套房
62,分租套房
63,分租套房
64,雅房
65,分租套房
66,雅房
67,3房1廳2衛
68,雅房
69,分租套房
70,2房1廳1衛
71,獨立套房
72,雅房
73,分租套房
74,獨立套房
75,雅房
76,分租套房
77,獨立套房
78,雅房
79,雅房
80,雅房
81,分租套房
82,獨立套房
83,雅房
84,分租套房
85,獨立套房
86,分租套房
87,獨立套房
88,3房2廳2衛
89,分租套房
90,3房2廳2衛
91,分租套房
92,獨立套房
93,分租套房
94,分租套房
95,獨立套房
96,獨立套房
97,雅房
98,雅房
99,雅房
100,3房2廳2衛
101,分租套房
102,分租套房
103,分租套房
104,分租套房
105,分租套房
106,2房1廳1衛
107,雅房
108,獨立套房
109,3房2廳2衛
110,獨立套房
111,獨立套房
112,獨立套房
113,獨立套房
114,獨立套房
115,2房1廳1衛
116,分租套房
117,獨立套房
118,獨立套房
119,3房2廳2衛
120,獨立套房
121,分租套房
122,雅房
123,2房1廳1衛
124,獨立套房
125,獨立套房
126,獨立套房
127,獨立套房
128,4房2廳2衛
129,4房2廳2衛
130,2房2廳1衛
131,獨立套房
132,2房2廳1衛
133,獨立套房
134,獨立套房
135,分租套房
136,分租套房
137,2房1廳1衛
138,6房2廳3衛
139,2房1廳1衛
140,2房1廳1衛
141,4房3廳3衛
142,2房1廳1衛
143,獨立套房
144,2房2廳1衛
145,2房2廳2衛
146,3房2廳2衛
147,2房1廳1衛
148,雅房
149,獨立套房
150,分租套房
151,2房1廳1衛
152,2房1廳1衛
153,獨立套房
154,2房1廳1衛
155,2房2廳1衛
156,雅房
157,4房3廳3衛
158,分租套房
159,3房2廳2衛
160,開放式格局
161,獨立套房
162,獨立套房
163,3房2廳2衛
164,2房1廳1衛
165,獨立套房
166,5房2廳5衛
167,3房2廳1衛
168,1房1廳1衛
169,雅房
170,2房2廳2衛
171,2房1廳1衛
172,雅房
173,3房2廳2衛
174,獨立套房
175,4房2廳2衛
176,2房2廳1衛
177,2房2廳1衛
178,2房1廳1衛
179,3房2廳2衛
180,3房2廳1衛
181,雅房
182,3房2廳2衛
183,獨立套房
184,4房2廳2衛
185,2房2廳1衛
186,2房2廳1衛
187,2房1廳1衛
188,3房2廳2衛
189,獨立套房
190,獨立套房
191,3房1廳1衛
192,2房2廳1衛
193,獨立套房
194,2房2廳1衛
195,分租套房
196,雅房
197,分租套房
198,獨立套房
199,12坪
200,獨立套房
201,獨立套房
202,獨立套房
203,雅房
204,分租套房
205,獨立套房
206,獨立套房
207,獨立套房
208,獨立套房
209,分租套房
210,2房1廳1衛
211,獨立套房
212,獨立套房
213,雅房
214,分租套房
215,獨立套房
216,獨立套房
217,1房1廳1衛
218,3房2廳2衛
219,4房2廳2衛
220,2房1廳1衛
221,獨立套房
222,獨立套房
223,雅房
224,2房2衛
225,獨立套房
226,獨立套房
227,4房2廳2衛
228,獨立套房
229,獨立套房
230,分租套房
231,3房2廳2衛
232,雅房
233,分租套房
234,分租套房
235,獨立套房
236,分租套房
237,分租套房
238,分租套房
239,雅房
240,獨立套房
241,獨立套房
242,獨立套房
243,分租套房
244,分租套房
245,獨立套房
246,雅房
247,3房2廳1衛
248,獨立套房
249,分租套房
250,獨立套房
251,2房2廳1衛
252,分租套房
253,獨立套房
254,獨立套房
255,雅房
256,雅房
257,雅房
258,獨立套房
259,雅房
260,獨立套房
261,獨立套房
262,雅房
263,3房2廳2衛
264,分租套房
265,獨立套房
266,獨立套房
267,獨立套房
268,雅房
269,雅房
270,分租套房
271,獨立套房
272,雅房
273,獨立套房
274,獨立套房
275,獨立套房
276,分租套房
277,雅房
278,獨立套房
279,雅房
280,3房2廳1衛
281,獨立套房
282,分租套房
283,獨立套房
284,2房2廳1衛
285,分租套房
286,獨立套房
287,獨立套房
288,雅房
289,雅房
290,獨立套房
291,雅房
292,分租套房
293,獨立套房
294,雅房
295,獨立套房
296,雅房
297,獨立套房
298,獨立套房
299,雅房
300,分租套房
301,獨立套房
302,分租套房
303,獨立套房
304,獨立套房
305,獨立套房
306,分租套房
307,獨立套房
308,獨立套房
309,雅房
310,分租套房
311,雅房
312,雅房
313,獨立套房
314,雅房
315,獨立套房
316,1房1廳1衛
317,分租套房
318,1房1廳1衛
319,2房3廳2衛
320,3房2廳2衛
321,1房1廳1衛
322,2房1廳1衛
323,4房2廳2衛
324,5坪
325,獨立套房
326,雅房
327,獨立套房
328,獨立套房
329,1房1廳1衛
330,2房2廳1衛
331,2房1廳1衛
332,獨立套房
333,雅房
334,分租套房
335,獨立套房
336,分租套房
337,2房1廳1衛
338,3房2廳2衛
339,獨立套房
340,1房1廳1衛
341,3房2廳2衛
342,獨立套房
343,4房2廳2衛
344,4房2廳2衛
345,分租套房
346,雅房
347,雅房
348,分租套房
349,分租套房
350,1房1廳1衛
351,2房1廳1衛
352,4房2廳2衛
353,1房1廳1衛
354,獨立套房
355,3房2廳2衛
356,獨立套房
357,分租套房
358,雅房
359,獨立套房
360,1房1廳1衛
361,獨立套房
362,獨立套房
363,獨立套房
364,3房2廳2衛
365,雅房
366,3房2廳2衛
367,2房2廳1衛
368,獨立套房
369,2房1廳1衛
370,雅房
371,獨立套房
372,獨立套房
373,獨立套房
374,獨立套房
375,獨立套房
376,2房1廳1衛
377,2房2廳1衛
378,5坪
379,4房1廳1衛
380,分租套房
381,獨立套房
382,2房2廳2衛
383,5坪
384,雅房
385,獨立套房
386,獨立套房
387,3房2廳2衛
388,2房1廳1衛
389,2房1衛
390,獨立套房
391,3房2廳2衛
392,4房2廳2衛
393,2房2廳2衛
394,獨立套房
395,獨立套房
396,雅房
397,2房1廳2衛
398,2房1廳1衛
399,2房2廳1衛
400,雅房
401,3房1廳2衛
402,分租套房
403,雅房
404,雅房
405,獨立套房
406,分租套房
407,5.75坪
408,2房2廳2衛
409,分租套房
410,獨立套房
411,獨立套房
412,3房2廳1衛
413,獨立套房
414,雅房
415,獨立套房
416,2房2廳1衛
417,4房3廳3衛
418,分租套房
419,2房2廳2衛
420,獨立套房
421,2房1廳1衛
422,2房2廳1衛
423,3房2廳2衛
424,獨立套房
425,獨立套房
426,獨立套房
427,獨立套房
428,獨立套房
429,獨立套房
430,3房1廳1衛
431,獨立套房
432,2房2廳1衛
433,獨立套房
434,2房1廳1衛
435,獨立套房
436,2房2廳1衛
437,獨立套房
438,3房2廳2衛
439,2房2廳2衛
440,1房1廳1衛
441,2房2廳1衛
442,3房2廳2衛
443,2房1廳2衛
444,1房1廳1衛
445,3房1廳2衛
446,2房1廳2衛
447,1房1廳1衛
448,獨立套房
449,雅房
450,2房1廳1衛
451,2房1廳1衛
452,獨立套房
453,獨立套房
454,獨立套房
455,開放式格局
456,分租套房
457,5房2廳2衛
458,獨立套房
459,獨立套房
460,分租套房
461,雅房
462,分租套房
463,分租套房
464,4房2廳2衛
465,獨立套房
466,2房2廳2衛
467,2房2廳2衛
468,獨立套房
469,獨立套房
470,獨立套房
471,2房1廳1衛
472,3房2廳2衛
473,獨立套房
474,獨立套房
475,3房2廳2衛
476,獨立套房
477,3房2廳2衛
478,2房1廳1衛
479,雅房
480,獨立套房
481,2房1廳1衛
482,雅房
483,獨立套房
484,雅房
485,獨立套房
486,獨立套房
487,獨立套房
488,獨立套房
489,獨立套房
490,獨立套房
491,分租套房
492,3房1廳2衛
493,雅房
494,4房2廳2衛
495,雅房
496,獨立套房
497,3房1廳2衛
498,分租套房
499,雅房
500,分租套房
501,雅房
502,分租套房
503,2房2廳1衛
504,獨立套房
505,2房2廳1衛
506,分租套房
507,獨立套房
508,獨立套房
509,獨立套房
510,1房1廳1衛
511,開放式格局
512,4房3廳3衛
513,獨立套房
514,2房1廳1衛
515,獨立套房
516,獨立套房
517,獨立套房
518,2房1廳1衛
519,2房2廳1衛
520,分租套房
521,獨立套房
522,雅房
523,獨立套房
524,獨立套房
525,2房2廳1衛
526,3房2廳2衛
527,獨立套房
528,2房2廳2衛
529,獨立套房
530,1房1廳1衛
531,2房1廳1衛
532,3房2廳2衛
533,獨立套房
534,獨立套房
535,獨立套房
536,2房1廳1衛
537,3房2廳2衛
538,3房2廳2衛
539,獨立套房
540,1房1廳1衛
541,獨立套房
542,獨立套房
543,獨立套房
544,3房2廳2衛
545,2房2廳1衛
546,獨立套房
547,獨立套房
548,3房2廳2衛
549,3房2廳2衛
550,獨立套房
551,1房1廳1衛
552,雅房
553,1房1廳1衛
554,1房1廳1衛
555,雅房
556,2房1廳1衛
557,2房2廳2衛
558,4房2廳2衛
559,2房1廳1衛
560,3房2廳2衛
561,獨立套房
562,獨立套房
563,獨立套房
564,3房2廳3衛
565,2房1廳1衛
566,2房1廳1衛
567,1房1廳1衛
568,獨立套房
569,3房3廳1衛
570,2房1廳1衛
571,4房2廳3衛
572,獨立套房
573,3房3廳1衛
574,1房1廳1衛
575,2房2廳1衛
576,分租套房
577,1房1廳1衛
578,2房1廳1衛
579,獨立套房
580,2房2廳1衛
581,3房2廳2衛
582,3房2廳2衛
583,3房2廳2衛
584,2房2廳2衛
585,4房2廳2衛
586,1房1廳1衛
587,4房2廳2衛
588,3房2廳2衛
589,3房2廳2衛
590,3房2廳2衛
591,4房2廳2衛
592,1房1廳1衛
593,3房1廳1衛
594,獨立套房
595,2房1廳1衛
596,5房2廳2衛
597,分租套房
598,獨立套房
599,4房2廳2衛
600,1房1廳1衛
601,雅房
602,獨立套房
603,獨立套房
604,3房1廳2衛
605,3房2廳2衛
606,2房1廳1衛
607,獨立套房
608,2房2廳1衛
609,1房1廳1衛
610,2房1廳1衛
611,2房1廳1衛
612,1房1廳1衛
613,4房2廳2衛
614,1房1廳1衛
615,分租套房
616,獨立套房
617,4房2廳2衛
618,獨立套房
619,分租套房
620,開放式格局
621,獨立套房
622,2房2廳1衛
623,1房1廳1衛
624,2房1衛
625,開放式格局
626,3坪
627,4房2廳3衛
628,獨立套房
629,3房2廳1衛
630,雅房
631,獨立套房
632,3房2廳2衛
633,2房1廳2衛
634,3房2廳1衛
635,3坪
636,1房2廳2衛
637,獨立套房
638,3房2廳1衛
639,獨立套房
640,2房2廳1衛
641,2房1廳1衛
642,2房1廳1衛
643,2房1廳1衛
644,2房2廳1衛
645,2房2廳1衛
646,4房3廳1衛
647,獨立套房
648,雅房
649,3房2廳2衛
650,1房2廳1衛
651,2房2廳1衛
652,3房2廳2衛
653,2房2廳2衛
654,2房2廳2衛
655,3房2廳2衛
656,獨立套房
657,2房2廳2衛
658,獨立套房
659,3房2廳2衛
660,3房2廳1衛
661,獨立套房
662,4房2廳2衛
663,2房2廳1衛
664,2房2廳1衛
665,3房2廳2衛
666,2房1廳1衛
667,2房1廳1衛
668,3房1廳2衛
669,獨立套房
670,獨立套房
671,獨立套房
672,2房1廳1衛
673,3房2廳2衛
674,2房2廳1衛
675,1房1衛
676,獨立套房
677,2房2廳1衛
678,1房1廳1衛
679,1房1廳1衛
680,2房2廳2衛
681,2房1廳1衛
682,1房2廳1衛
683,2房2廳1衛
684,2房2廳1衛
685,獨立套房
686,4房2廳4衛
687,4房2廳3衛
688,3房2廳2衛
689,2房2廳1衛
690,3房2廳2衛
691,獨立套房
692,3房2廳2衛
693,獨立套房
694,4房2廳2衛
695,4房2廳2衛
696,4房2廳2衛
697,3房2廳2衛
698,獨立套房
699,獨立套房
700,1房2廳1衛
701,3房2廳2衛
702,3房2廳2衛
703,2房1廳1衛
704,1房1廳1衛
705,獨立套房
706,3房2廳2衛
707,3房2廳2衛
708,2房1廳1衛
709,3房2廳2衛
710,5房2廳4衛
711,3房2廳2衛
712,4房2廳2衛
713,4房2廳2衛
714,獨立套房
715,1房1廳1衛
716,2房1廳1衛
717,2房2廳2衛
718,3房2廳2衛
719,3房2廳2衛
720,3房2廳2衛
721,獨立套房
722,獨立套房
723,1房2廳2衛
724,獨立套房
725,獨立套房
726,2房2廳1衛
727,2房1廳1衛
728,獨立套房
729,1房1廳1衛
730,2房1廳1衛
731,獨立套房
732,獨立套房
733,分租套房
734,2房2廳1衛
735,1房1廳1衛
736,2房2廳2衛
737,雅房
738,雅房
739,獨立套房
740,2房1廳1衛
741,2房1廳1衛
742,1房1廳1衛
743,3房2廳1衛
744,3房2廳2衛
745,獨立套房
746,2房2廳2衛
747,2房1廳1衛
748,2房2廳1衛
749,2房1廳1衛
750,2房2廳1衛
751,2房2廳1衛
752,3房1廳2衛
753,2房1廳1衛
754,1房1廳1衛
755,分租套房
756,獨立套房
757,獨立套房
758,分租套房
759,獨立套房
760,2房1廳1衛
761,2房1廳1衛
762,獨立套房
763,2房1廳1衛
764,獨立套房
765,獨立套房
766,獨立套房
767,2房1廳1衛
768,獨立套房
769,3房2廳1衛
770,獨立套房
771,2房1廳1衛
772,獨立套房
773,1房1廳1衛
774,3房2廳2衛
775,3房2廳2衛
776,獨立套房
777,2房1廳1衛
778,2房1廳1衛
779,4房2廳2衛
780,4房2廳2衛
781,3房2廳1衛
782,3房2廳2衛
783,雅房
784,3房2廳1衛
785,獨立套房
786,2房1廳1衛
787,3房2廳2衛
788,2房2廳1衛
789,3房2廳1衛
790,3房1廳2衛
791,3房2廳1衛
792,分租套房
793,2房2廳2衛
794,雅房
795,2房2廳2衛
796,3房2廳2衛
797,4房2廳2衛
798,獨立套房
799,2房2廳1衛
800,獨立套房
801,3房2廳1衛
802,分租套房
803,5坪
804,雅房
805,1房1廳1衛
806,2房1廳1衛
807,2房2廳1衛
808,9.69坪
809,2房2廳2衛
810,2房2廳1衛
811,2房2廳1衛
812,獨立套房
813,9.69坪
