Column1,Column2
,0
0,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙"
1,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
2,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
3,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
4,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合上班族"
5,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
6,"房屋守則
不可養寵物"
7,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生及上班族"
8,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
9,no
10,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
11,no
12,no
13,no
14,"房屋守則
適合上班族及家庭"
15,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
16,"房屋守則
此房屋男女皆可租住，不可養寵物"
17,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生及上班族"
18,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生及上班族"
19,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
20,"房屋守則
此房屋男女皆可租住，不可養寵物"
21,"房屋守則
不可養寵物"
22,"房屋守則
不可養寵物；適合上班族及家庭"
23,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
24,"房屋守則
此房屋男女皆可租住；適合上班族"
25,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
26,"房屋守則
不可養寵物"
27,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙"
28,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生及上班族"
29,no
30,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙"
31,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
32,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生及上班族"
33,"房屋守則
不可養寵物；適合學生及上班族"
34,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
35,"房屋守則
不可養寵物；適合學生及上班族"
36,"房屋守則
此房屋限男生租住，不可養寵物，不可開伙；適合學生及上班族"
37,"房屋守則
不可養寵物"
38,"房屋守則
不可養寵物；適合上班族及家庭"
39,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
40,"房屋守則
不可養寵物；適合上班族及家庭"
41,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
42,"房屋守則
不可養寵物"
43,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
44,"房屋守則
此房屋限女生租住，不可養寵物；適合學生及上班族"
45,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合上班族"
46,"房屋守則
此房屋男女皆可租住，不可養寵物"
47,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
48,"房屋守則
適合上班族及家庭"
49,"房屋守則
不可養寵物"
50,"房屋守則
不可養寵物；適合上班族及家庭"
51,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
52,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
53,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
54,"房屋守則
不可養寵物；適合上班族及家庭"
55,"房屋守則
此房屋男女皆可租住；適合學生及上班族"
56,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
57,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
58,no
59,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合上班族"
60,"房屋守則
此房屋男女皆可租住，不可養寵物"
61,"房屋守則
此房屋男女皆可租住，不可養寵物；適合上班族"
62,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合學生"
63,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
64,"房屋守則
不可養寵物"
65,"房屋守則
不可養寵物"
66,"房屋守則
不可養寵物"
67,"房屋守則
此房屋限女生租住，不可養寵物，不可開伙；適合上班族"
68,"房屋守則
不可養寵物"
69,"房屋守則
此房屋男女皆可租住"
70,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
71,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
72,no
73,"房屋守則
此房屋男女皆可租住，不可養寵物"
74,"房屋守則
不可養寵物"
75,"房屋守則
此房屋男女皆可租住，不可養寵物；適合上班族"
76,"房屋守則
此房屋男女皆可租住，不可養寵物"
77,"房屋守則
此房屋男女皆可租住"
78,"房屋守則
不可養寵物"
79,"房屋守則
此房屋男女皆可租住，不可養寵物"
80,"房屋守則
此房屋限男生租住，不可養寵物，不可開伙；適合上班族"
81,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
82,"房屋守則
不可養寵物"
83,"房屋守則
此房屋男女皆可租住；適合學生及上班族"
84,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
85,"房屋守則
不可養寵物"
86,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
87,"房屋守則
不可養寵物；適合上班族及家庭"
88,no
89,"房屋守則
此房屋男女皆可租住，不可養寵物"
90,no
91,"房屋守則
此房屋限女生租住，不可養寵物；適合學生及上班族"
92,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
93,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
94,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
95,no
96,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
97,no
98,"房屋守則
不可養寵物"
99,"房屋守則
不可養寵物"
100,"房屋守則
不可養寵物；適合上班族及家庭"
101,"房屋守則
不可養寵物"
102,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
103,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
104,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
105,"房屋守則
不可養寵物"
106,"房屋守則
此房屋男女皆可租住，不可開伙"
107,"房屋守則
此房屋男女皆可租住，不可養寵物"
108,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
109,no
110,"房屋守則
此房屋男女皆可租住，不可養寵物；適合上班族及家庭"
111,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合上班族"
112,"房屋守則
此房屋男女皆可租住，不可養寵物"
113,"房屋守則
此房屋男女皆可租住，不可養寵物"
114,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
115,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
116,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
117,no
118,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
119,"房屋守則
不可養寵物；適合上班族及家庭"
120,"房屋守則
此房屋限女生租住，不可養寵物；適合學生及上班族"
121,"房屋守則
不可養寵物；適合上班族及家庭"
122,"房屋守則
適合上班族及家庭"
123,"房屋守則
此房屋男女皆可租住，不可養寵物"
124,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合學生及上班族"
125,"房屋守則
不可養寵物"
126,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合上班族"
127,"房屋守則
此房屋男女皆可租住，不可養寵物"
128,"房屋守則
此房屋男女皆可租住，不可養寵物"
129,no
130,"房屋守則
不可養寵物；適合上班族及家庭"
131,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙；適合上班族"
132,"房屋守則
此房屋男女皆可租住，不可養寵物"
133,"房屋守則
不可養寵物"
134,"房屋守則
此房屋男女皆可租住"
135,no
136,"房屋守則
此房屋男女皆可租住，不可開伙"
137,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
138,no
139,"房屋守則
不可養寵物"
140,"房屋守則
不可養寵物"
141,"房屋守則
此房屋限女生租住，不可養寵物"
142,"房屋守則
此房屋限男生租住，不可養寵物，不可開伙；適合上班族"
143,"房屋守則
不可養寵物；適合上班族及家庭"
144,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
145,"房屋守則
不可養寵物；適合上班族及家庭"
146,"房屋守則
不可養寵物；適合上班族"
147,"房屋守則
不可養寵物"
148,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
149,"房屋守則
適合上班族及家庭"
150,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
151,"房屋守則
不可養寵物；適合上班族及家庭"
152,"房屋守則
此房屋男女皆可租住"
153,"房屋守則
此房屋男女皆可租住，不可養寵物"
154,no
155,"房屋守則
不可養寵物"
156,"房屋守則
不可養寵物"
157,"房屋守則
適合上班族及家庭"
158,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
159,"房屋守則
不可養寵物；適合學生及上班族"
160,"房屋守則
不可養寵物"
161,"房屋守則
此房屋男女皆可租住，不可養寵物；適合學生及上班族"
162,"房屋守則
不可養寵物"
163,"房屋守則
不可養寵物"
164,"房屋守則
此房屋男女皆可租住，不可養寵物，不可開伙"
