Column1,Column2
,0
0,公寓
1,公寓
2,公寓
3,公寓
4,公寓
5,公寓
6,公寓
7,公寓
8,電梯大樓
9,公寓
10,透天厝
11,公寓
12,公寓
13,公寓
14,電梯大樓
15,公寓
16,公寓
17,電梯大樓
18,公寓
19,公寓
20,公寓
21,公寓
22,電梯大樓
23,公寓
24,公寓
25,透天厝
26,電梯大樓
27,公寓
28,透天厝
29,電梯大樓
30,公寓
31,公寓
32,透天厝
33,公寓
34,公寓
35,公寓
36,電梯大樓
37,公寓
38,電梯大樓
39,公寓
40,電梯大樓
41,公寓
42,電梯大樓
43,透天厝
44,電梯大樓
45,公寓
46,公寓
47,公寓
48,電梯大樓
49,電梯大樓
50,電梯大樓
51,公寓
52,透天厝
53,公寓
54,透天厝
55,公寓
56,公寓
57,公寓
58,電梯大樓
59,公寓
60,公寓
61,公寓
62,公寓
63,公寓
64,電梯大樓
65,公寓
66,公寓
67,公寓
68,公寓
69,公寓
70,公寓
71,電梯大樓
72,電梯大樓
73,公寓
74,公寓
75,公寓
76,公寓
77,電梯大樓
78,電梯大樓
79,電梯大樓
80,公寓
81,別墅
82,電梯大樓
83,公寓
84,公寓
85,公寓
86,公寓
87,電梯大樓
88,電梯大樓
89,電梯大樓
90,電梯大樓
91,公寓
92,公寓
93,公寓
94,透天厝
95,電梯大樓
96,公寓
97,公寓
98,公寓
99,電梯大樓
100,電梯大樓
101,公寓
102,公寓
103,公寓
104,公寓
105,電梯大樓
106,公寓
107,電梯大樓
108,公寓
109,公寓
110,電梯大樓
111,公寓
112,公寓
113,公寓
114,公寓
115,公寓
116,公寓
117,電梯大樓
118,公寓
119,電梯大樓
120,公寓
121,電梯大樓
122,電梯大樓
123,公寓
124,公寓
125,電梯大樓
126,公寓
127,公寓
128,公寓
129,電梯大樓
130,電梯大樓
131,公寓
132,公寓
133,電梯大樓
134,公寓
135,最短租期半年
136,公寓
137,公寓
138,公寓
139,公寓
140,電梯大樓
141,電梯大樓
142,公寓
143,電梯大樓
144,公寓
145,公寓
146,電梯大樓
147,公寓
148,公寓
149,電梯大樓
150,公寓
151,公寓
152,公寓
153,公寓
154,公寓
155,公寓
156,電梯大樓
157,電梯大樓
158,公寓
159,公寓
160,公寓
161,公寓
162,電梯大樓
163,公寓
164,透天厝
165,公寓
166,公寓
167,公寓
168,公寓
169,透天厝
170,公寓
171,公寓
172,公寓
173,公寓
174,公寓
175,公寓
176,電梯大樓
177,電梯大樓
178,電梯大樓
179,公寓
180,公寓
181,電梯大樓
182,透天厝
183,公寓
184,公寓
